subject,condition,feature_type,body_part,channel,type,metric,axis,data
VP_02,ftsst,expert,Head,ang_vel,static_periods,count_per_min,norm,7.272501243162606
VP_02,ftsst,expert,Head,ang_vel,static_periods,max_duration_sec,norm,6.340999999999951
VP_02,ftsst,expert,Head,ang_vel,static_periods,mean_duration_sec,norm,1.048769230769228
VP_02,ftsst,expert,Head,ang_vel,static_periods,ratio_percent,norm,0.127119592242665
VP_02,ftsst,expert,Head,ang_vel,static_periods,std_duration_sec,norm,1.0977509076691545
VP_02,ftsst,expert,Head,pos_global,absolute_movement,absolute_movement,norm,0.0085826373600166
VP_02,ftsst,expert,Head,vel,below_threshold,count_per_min,norm,19.467926404773745
VP_02,ftsst,expert,Head,vel,below_threshold,max_duration_sec,norm,28.61100000000002
VP_02,ftsst,expert,Head,vel,below_threshold,mean_duration_sec,norm,3.001477011494254
VP_02,ftsst,expert,Head,vel,below_threshold,ratio_percent,norm,0.9738755594231728
VP_02,ftsst,expert,Head,vel,below_threshold,std_duration_sec,norm,5.323952796922748
VP_02,ftsst,expert,Head,vel,static_periods,count_per_min,norm,21.369965191447044
VP_02,ftsst,expert,Head,vel,static_periods,max_duration_sec,norm,11.441000000000033
VP_02,ftsst,expert,Head,vel,static_periods,mean_duration_sec,norm,1.4078848167539286
VP_02,ftsst,expert,Head,vel,static_periods,ratio_percent,norm,0.5014408254599708
VP_02,ftsst,expert,Head,vel,static_periods,std_duration_sec,norm,1.6417007732130298
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,count_per_min,norm,7.496270512182994
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,max_duration_sec,norm,5.048999999999978
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,mean_duration_sec,norm,0.9728059701492526
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,ratio_percent,norm,0.1215402784684235
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,std_duration_sec,norm,0.8154837240596774
VP_02,ftsst,expert,LeftHand_RightHand,pos_global,absolute_movement,absolute_movement,norm,0.0994095356447964
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,count_per_min,norm,21.03431128791646
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,max_duration_sec,norm,11.933999999999967
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,mean_duration_sec,norm,1.7068723404255344
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,ratio_percent,norm,0.5983814022874201
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,std_duration_sec,norm,1.9240218696103444
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,count_per_min,norm,19.132272501243165
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,max_duration_sec,norm,7.854000000000042
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,mean_duration_sec,norm,0.9257543859649128
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,ratio_percent,norm,0.2951964196916958
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,std_duration_sec,norm,1.128608132076621
VP_02,ftsst,expert,LowerExtremities,pos_global,absolute_movement,absolute_movement,norm,0.1465655545659466
VP_02,ftsst,expert,LowerExtremities,vel,below_threshold,count_per_min,norm,14.321233217304824
VP_02,ftsst,expert,LowerExtremities,vel,below_threshold,max_duration_sec,norm,38.26699999999997
VP_02,ftsst,expert,LowerExtremities,vel,below_threshold,mean_duration_sec,norm,4.074421875
VP_02,ftsst,expert,LowerExtremities,vel,below_threshold,ratio_percent,norm,0.9725124316260566
VP_02,ftsst,expert,LowerExtremities,vel,below_threshold,std_duration_sec,norm,8.788156836136098
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,count_per_min,norm,20.027349577324717
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,max_duration_sec,norm,13.718999999999935
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,mean_duration_sec,norm,1.752519553072625
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,ratio_percent,norm,0.5849720288413722
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,std_duration_sec,norm,2.1930979354307927
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,count_per_min,norm,8.615116857284933
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,max_duration_sec,norm,5.065999999999974
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,mean_duration_sec,norm,0.9860000000000008
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,ratio_percent,norm,0.1415750870213825
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,std_duration_sec,norm,0.8335111213857211
VP_02,ftsst,expert,Spine3,vel,below_threshold,count_per_min,norm,3.468423669816012
VP_02,ftsst,expert,Spine3,vel,below_threshold,max_duration_sec,norm,94.53699999999996
VP_02,ftsst,expert,Spine3,vel,below_threshold,mean_duration_sec,norm,17.454612903225804
VP_02,ftsst,expert,Spine3,vel,below_threshold,ratio_percent,norm,1.0089998756837393
VP_02,ftsst,expert,Spine3,vel,below_threshold,std_duration_sec,norm,28.31973425213993
VP_02,ftsst,expert,Spine3,vel,static_periods,count_per_min,norm,18.460964694182
VP_02,ftsst,expert,Spine3,vel,static_periods,max_duration_sec,norm,9.656000000000006
VP_02,ftsst,expert,Spine3,vel,static_periods,mean_duration_sec,norm,1.636636363636364
VP_02,ftsst,expert,Spine3,vel,static_periods,ratio_percent,norm,0.5035647687717555
VP_02,ftsst,expert,Spine3,vel,static_periods,std_duration_sec,norm,1.7652113432885324
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,count_per_min,norm,5.706116360019891
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,max_duration_sec,norm,4.283999999999992
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,mean_duration_sec,norm,0.8240000000000043
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,ratio_percent,norm,0.0783639980109402
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,std_duration_sec,norm,0.9026494336119628
VP_02,ftsst,expert,Trunk,pos_global,absolute_movement,absolute_movement,norm,0.0474289115163473
VP_02,ftsst,expert,Trunk,vel,below_threshold,count_per_min,norm,23.04823470909995
VP_02,ftsst,expert,Trunk,vel,below_threshold,max_duration_sec,norm,24.343999999999998
VP_02,ftsst,expert,Trunk,vel,below_threshold,mean_duration_sec,norm,2.5027961165048533
