subject,condition,feature_type,body_part,channel,type,metric,axis,data
VP_02,ftsst,expert,Head,ang_vel,static_periods,count_per_min,norm,9.58748866727108
VP_02,ftsst,expert,Head,ang_vel,static_periods,ratio_percent,norm,0.16275611967361697
VP_02,ftsst,expert,Head,pos_global,absolute_movement,absolute_movement,norm,0.008710470870457029
VP_02,ftsst,expert,Head,vel,static_periods,count_per_min,norm,21.214868540344515
VP_02,ftsst,expert,Head,vel,static_periods,max_duration_sec,norm,8.891000000000005
VP_02,ftsst,expert,Head,vel,static_periods,mean_duration_sec,norm,1.5425865384615383
VP_02,ftsst,expert,Head,vel,static_periods,ratio_percent,norm,0.5454295104261105
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,count_per_min,norm,7.1396192203082505
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,ratio_percent,norm,0.13091001813236622
VP_02,ftsst,expert,LeftHand_RightHand,pos_global,absolute_movement,absolute_movement,norm,0.0999374070585104
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,count_per_min,norm,21.01087941976428
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,max_duration_sec,norm,9.63900000000001
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,mean_duration_sec,norm,1.7092427184466028
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,ratio_percent,norm,0.598544877606528
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,count_per_min,norm,21.214868540344515
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,max_duration_sec,norm,6.579000000000008
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,mean_duration_sec,norm,0.9420288461538467
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,ratio_percent,norm,0.3330836355394381
VP_02,ftsst,expert,LowerExtremities,pos_global,absolute_movement,absolute_movement,norm,0.12057416823995654
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,count_per_min,norm,19.786944696282866
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,max_duration_sec,norm,11.169000000000025
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,mean_duration_sec,norm,1.8838453608247412
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,ratio_percent,norm,0.6212590661831365
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,count_per_min,norm,8.363553943789665
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,ratio_percent,norm,0.15738100634632826
VP_02,ftsst,expert,Spine3,vel,static_periods,count_per_min,norm,17.339075249320036
VP_02,ftsst,expert,Spine3,vel,static_periods,ratio_percent,norm,0.5138145965548501
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,count_per_min,norm,6.323662737987307
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,ratio_percent,norm,0.10126019945602915
VP_02,ftsst,expert,Trunk,pos_global,absolute_movement,absolute_movement,norm,0.04755959780375008
VP_02,ftsst,expert,Trunk,vel,static_periods,count_per_min,norm,19.58295557570263
VP_02,ftsst,expert,Trunk,vel,static_periods,ratio_percent,norm,0.4246339528558477
VP_02,ftsst,expert,UpperExtremities,ang_vel,static_periods,count_per_min,norm,3.4678150498640075
VP_02,ftsst,expert,UpperExtremities,ang_vel,static_periods,ratio_percent,norm,0.05253739800543961
VP_02,ftsst,expert,UpperExtremities,pos_global,absolute_movement,absolute_movement,norm,0.1866861870866167
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,count_per_min,norm,14.687216681776972
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,ratio_percent,norm,0.25973934723481473
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,norm,0.004414987371426482
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,x,3.4264794925187516
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,y,0.004288239060886605
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,z,2.5793118764104186
VP_02,ftsst,generic,CenterMass,center_mass,mean,mean,norm,1.0137063809774451
VP_02,ftsst,generic,CenterMass,center_mass,mean,mean,x,0.005042917044424298
VP_02,ftsst,generic,CenterMass,center_mass,mean,mean,y,1.0128425147325477
VP_02,ftsst,generic,CenterMass,center_mass,mean,mean,z,0.013659207842248415
VP_02,ftsst,generic,CenterMass,center_mass,std,std,norm,0.004475500870349863
VP_02,ftsst,generic,CenterMass,center_mass,std,std,x,0.01727945183519313
VP_02,ftsst,generic,CenterMass,center_mass,std,std,y,0.004343310834202728
VP_02,ftsst,generic,CenterMass,center_mass,std,std,z,0.035231357009869665
VP_02,ftsst,generic,Head,ang_vel,abs_energy,abs_energy,norm,5480.325505159999
VP_02,ftsst,generic,Head,ang_vel,abs_max,abs_max,x,4.4331
VP_02,ftsst,generic,Head,ang_vel,abs_max,abs_max,y,1.6406
VP_02,ftsst,generic,Head,ang_vel,abs_max,abs_max,z,2.9496
VP_02,ftsst,generic,Head,ang_vel,cov,cov,norm,1.5371407692101053
VP_02,ftsst,generic,Head,ang_vel,cov,cov,x,-40.049117036440386
VP_02,ftsst,generic,Head,ang_vel,cov,cov,y,-15.198385282635511
VP_02,ftsst,generic,Head,ang_vel,cov,cov,z,-27.129922032057657
VP_02,ftsst,generic,Head,ang_vel,entropy,entropy,norm,9.097800355381436
VP_02,ftsst,generic,Head,ang_vel,entropy,entropy,x,9.772425682793795
VP_02,ftsst,generic,Head,ang_vel,entropy,entropy,y,9.772963266660511
VP_02,ftsst,generic,Head,ang_vel,entropy,entropy,z,9.774071022467073
VP_02,ftsst,generic,Head,ang_vel,fft_aggregated_centroid,fft_aggregated_centroid,norm,1337.696312654331
VP_02,ftsst,generic,Head,ang_vel,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,8.116493134313044
VP_02,ftsst,generic,Head,ang_vel,fft_aggregated_skew,fft_aggregated_skew,norm,2.032920396292358
VP_02,ftsst,generic,Head,ang_vel,fft_aggregated_variance,fft_aggregated_variance,norm,2980928.8686105274
VP_02,ftsst,generic,Head,ang_vel,max_val,max_val,norm,4.743938315366252
VP_02,ftsst,generic,Head,ang_vel,mean,mean,norm,0.30388187511663767
VP_02,ftsst,generic,Head,ang_vel,mean,mean,x,-0.011706385992747053
VP_02,ftsst,generic,Head,ang_vel,mean,mean,y,-0.010171294197642794
VP_02,ftsst,generic,Head,ang_vel,mean,mean,z,-0.009505592701722576
VP_02,ftsst,generic,Head,ang_vel,mean_crossing,mean_crossing,norm,918.0
VP_02,ftsst,generic,Head,ang_vel,std,std,norm,0.4671092192657976
VP_02,ftsst,generic,Head,ang_vel,std,std,x,0.4688304226972731
VP_02,ftsst,generic,Head,ang_vel,std,std,y,0.15458724803881022
VP_02,ftsst,generic,Head,ang_vel,std,std,z,0.25788598886622977
VP_02,ftsst,generic,Head,ang_vel,zero_crossing,zero_crossing,x,1477.0
VP_02,ftsst,generic,Head,ang_vel,zero_crossing,zero_crossing,y,1263.0
VP_02,ftsst,generic,Head,ang_vel,zero_crossing,zero_crossing,z,1153.0
VP_02,ftsst,generic,Head,rot,abs_max,abs_max,x,12.5124
VP_02,ftsst,generic,Head,rot,abs_max,abs_max,y,38.0172
VP_02,ftsst,generic,Head,rot,abs_max,abs_max,z,14.1382
VP_02,ftsst,generic,Head,rot,cov,cov,norm,0.07480316887572251
VP_02,ftsst,generic,Head,rot,cov,cov,x,-0.3686410910321909
VP_02,ftsst,generic,Head,rot,cov,cov,y,-0.07660193619167084
VP_02,ftsst,generic,Head,rot,entropy,entropy,norm,9.76206626720455
VP_02,ftsst,generic,Head,rot,entropy,entropy,x,9.768469241008178
VP_02,ftsst,generic,Head,rot,entropy,entropy,y,9.568770224622396
VP_02,ftsst,generic,Head,rot,fft_aggregated_centroid,fft_aggregated_centroid,norm,252.75096078521943
VP_02,ftsst,generic,Head,rot,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,45.90734108354571
VP_02,ftsst,generic,Head,rot,fft_aggregated_skew,fft_aggregated_skew,norm,6.14938464715494
VP_02,ftsst,generic,Head,rot,fft_aggregated_variance,fft_aggregated_variance,norm,773724.9046780184
VP_02,ftsst,generic,Head,rot,max_val,max_val,norm,40.086681727725974
VP_02,ftsst,generic,Head,rot,mean,mean,norm,34.3989106356958
VP_02,ftsst,generic,Head,rot,mean,mean,x,-3.3582571056210333
VP_02,ftsst,generic,Head,rot,mean,mean,y,-34.05046723141432
VP_02,ftsst,generic,Head,rot,mean,mean,z,-0.5874243313689937
VP_02,ftsst,generic,Head,rot,std,std,norm,2.57314752142284
VP_02,ftsst,generic,Head,rot,std,std,x,1.2379915633827452
VP_02,ftsst,generic,Head,rot,std,std,y,2.608331718157379
VP_02,ftsst,generic,Head,rot,std,std,z,3.2423520500523186
VP_02,ftsst,generic,Head,rot,zero_crossing,zero_crossing,x,0.0
VP_02,ftsst,generic,Head,rot,zero_crossing,zero_crossing,y,0.0
VP_02,ftsst,generic,Head,rot,zero_crossing,zero_crossing,z,132.0
VP_02,ftsst,generic,Head,vel,abs_energy,abs_energy,norm,71.44087155000001
VP_02,ftsst,generic,Head,vel,abs_max,abs_max,x,0.352
VP_02,ftsst,generic,Head,vel,abs_max,abs_max,y,0.39
VP_02,ftsst,generic,Head,vel,abs_max,abs_max,z,0.1396
VP_02,ftsst,generic,Head,vel,cov,cov,norm,1.1281368121329092
VP_02,ftsst,generic,Head,vel,cov,cov,x,-17.969809210231222
VP_02,ftsst,generic,Head,vel,cov,cov,y,12.758306307448976
VP_02,ftsst,generic,Head,vel,cov,cov,z,8.337405358948677
VP_02,ftsst,generic,Head,vel,entropy,entropy,norm,9.317848720155482
VP_02,ftsst,generic,Head,vel,entropy,entropy,x,9.766064337133614
VP_02,ftsst,generic,Head,vel,entropy,entropy,y,9.771732399291079
VP_02,ftsst,generic,Head,vel,entropy,entropy,z,9.770284476219434
VP_02,ftsst,generic,Head,vel,fft_aggregated_centroid,fft_aggregated_centroid,norm,1374.6400355507058
VP_02,ftsst,generic,Head,vel,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,7.393408567254059
VP_02,ftsst,generic,Head,vel,fft_aggregated_skew,fft_aggregated_skew,norm,1.9865772076747377
VP_02,ftsst,generic,Head,vel,fft_aggregated_variance,fft_aggregated_variance,norm,3489669.40486114
VP_02,ftsst,generic,Head,vel,max_val,max_val,norm,0.4539751314774853
VP_02,ftsst,generic,Head,vel,mean,mean,norm,0.042204160813751126
VP_02,ftsst,generic,Head,vel,mean,mean,x,-0.002477453535811423
VP_02,ftsst,generic,Head,vel,mean,mean,y,0.0032635369446962835
VP_02,ftsst,generic,Head,vel,mean,mean,z,0.0021158828195829552
VP_02,ftsst,generic,Head,vel,mean_crossing,mean_crossing,norm,865.0
VP_02,ftsst,generic,Head,vel,std,std,norm,0.04761206743916984
VP_02,ftsst,generic,Head,vel,std,std,x,0.044519367365744016
VP_02,ftsst,generic,Head,vel,std,std,y,0.04163720398611135
VP_02,ftsst,generic,Head,vel,std,std,z,0.01764097275889837
VP_02,ftsst,generic,Head,vel,zero_crossing,zero_crossing,x,1781.0
VP_02,ftsst,generic,Head,vel,zero_crossing,zero_crossing,y,1471.0
VP_02,ftsst,generic,Head,vel,zero_crossing,zero_crossing,z,1846.0
