subject,condition,phase,feature_type,body_part,channel,type,metric,axis,data
VP_01,ftsst,talk,expert,LeftHand_RightHand,gyr,static_periods,count_per_min,norm,15.399144491972669
VP_01,ftsst,talk,expert,LeftHand_RightHand,gyr,static_periods,max_duration_sec,norm,3.466000000000008
VP_01,ftsst,talk,expert,LeftHand_RightHand,gyr,static_periods,mean_duration_sec,norm,1.0347662337662311
VP_01,ftsst,talk,expert,LeftHand_RightHand,gyr,static_periods,ratio_percent,norm,26.557524581967602
VP_01,ftsst,talk,expert,LeftHand_RightHand,gyr,static_periods,std_duration_sec,norm,0.7250447154287488
VP_01,ftsst,talk,expert,LeftHand_RightHand,pos,euclidean_distance,count_per_min,norm,0.19998888950613855
VP_01,ftsst,talk,expert,LeftHand_RightHand,pos,euclidean_distance,max_duration_sec,norm,299.9859999999999
VP_01,ftsst,talk,expert,LeftHand_RightHand,pos,euclidean_distance,mean,norm,0.1541201572622095
VP_01,ftsst,talk,expert,LeftHand_RightHand,pos,euclidean_distance,mean_duration_sec,norm,299.9859999999999
VP_01,ftsst,talk,expert,LeftHand_RightHand,pos,euclidean_distance,ratio_percent,norm,99.98977834564742
VP_01,ftsst,talk,expert,LeftHand_RightHand,pos,euclidean_distance,std,norm,0.007160383194732801
VP_01,ftsst,talk,expert,LeftHand_RightHand,vel,static_periods,count_per_min,norm,19.39892228209544
VP_01,ftsst,talk,expert,LeftHand_RightHand,vel,static_periods,max_duration_sec,norm,4.216000000000008
VP_01,ftsst,talk,expert,LeftHand_RightHand,vel,static_periods,mean_duration_sec,norm,0.8996288659793804
VP_01,ftsst,talk,expert,LeftHand_RightHand,vel,static_periods,ratio_percent,norm,29.08638408977276
VP_01,ftsst,talk,expert,LeftHand_RightHand,vel,static_periods,std_duration_sec,norm,0.827110713059669
VP_01,ftsst,talk,expert,LowerExtremities,gyr,static_periods,count_per_min,norm,19.59891117160158
VP_01,ftsst,talk,expert,LowerExtremities,gyr,static_periods,max_duration_sec,norm,7.716000000000008
VP_01,ftsst,talk,expert,LowerExtremities,gyr,static_periods,mean_duration_sec,norm,1.476816326530613
VP_01,ftsst,talk,expert,LowerExtremities,gyr,static_periods,ratio_percent,norm,48.23998666740739
VP_01,ftsst,talk,expert,LowerExtremities,gyr,static_periods,std_duration_sec,norm,1.5401586298467835
VP_01,ftsst,talk,expert,LowerExtremities,vel,static_periods,count_per_min,norm,22.798733403699796
VP_01,ftsst,talk,expert,LowerExtremities,vel,static_periods,max_duration_sec,norm,6.966000000000008
VP_01,ftsst,talk,expert,LowerExtremities,vel,static_periods,mean_duration_sec,norm,1.4096228070175418
VP_01,ftsst,talk,expert,LowerExtremities,vel,static_periods,ratio_percent,norm,53.56269096161317
VP_01,ftsst,talk,expert,LowerExtremities,vel,static_periods,std_duration_sec,norm,1.4300913912893294
VP_01,ftsst,talk,expert,RightHand_Head,pos,euclidean_distance,mean,norm,0.5977666554250448
VP_01,ftsst,talk,expert,RightHand_Head,pos,euclidean_distance,std,norm,0.0031296500220578806
VP_01,ftsst,talk,expert,T8,gyr,static_periods,count_per_min,norm,23.998666740736628
VP_01,ftsst,talk,expert,T8,gyr,static_periods,max_duration_sec,norm,5.232999999999947
VP_01,ftsst,talk,expert,T8,gyr,static_periods,mean_duration_sec,norm,1.2687083333333287
VP_01,ftsst,talk,expert,T8,gyr,static_periods,ratio_percent,norm,50.74551413810325
VP_01,ftsst,talk,expert,T8,gyr,static_periods,std_duration_sec,norm,0.9637245012012946
VP_01,ftsst,talk,expert,T8,vel,static_periods,count_per_min,norm,19.798900061107716
VP_01,ftsst,talk,expert,T8,vel,static_periods,max_duration_sec,norm,7.982999999999947
VP_01,ftsst,talk,expert,T8,vel,static_periods,mean_duration_sec,norm,1.841838383838385
VP_01,ftsst,talk,expert,T8,vel,static_periods,ratio_percent,norm,60.77729015054722
VP_01,ftsst,talk,expert,T8,vel,static_periods,std_duration_sec,norm,1.6347448512583531
VP_01,ftsst,talk,expert,TotalBody,gyr,static_periods,count_per_min,norm,5.7996777956780186
VP_01,ftsst,talk,expert,TotalBody,gyr,static_periods,max_duration_sec,norm,1.4670000000000982
VP_01,ftsst,talk,expert,TotalBody,gyr,static_periods,mean_duration_sec,norm,0.6650344827586226
