subject,condition,feature_type,body_part,channel,type,metric,axis,data
VP_02,ftsst,expert,Head,ang_vel,static_periods,count_per_min,norm,7.272501243162606
VP_02,ftsst,expert,Head,ang_vel,static_periods,max_duration_sec,norm,6.340999999999951
VP_02,ftsst,expert,Head,ang_vel,static_periods,mean_duration_sec,norm,1.048769230769228
VP_02,ftsst,expert,Head,ang_vel,static_periods,ratio_percent,norm,0.127119592242665
VP_02,ftsst,expert,Head,ang_vel,static_periods,std_duration_sec,norm,1.0977509076691545
VP_02,ftsst,expert,Head,pos_global,absolute_movement,absolute_movement,norm,0.008582637360016613
VP_02,ftsst,expert,Head,vel,static_periods,count_per_min,norm,21.369965191447044
VP_02,ftsst,expert,Head,vel,static_periods,max_duration_sec,norm,11.441000000000031
VP_02,ftsst,expert,Head,vel,static_periods,mean_duration_sec,norm,1.4078848167539286
VP_02,ftsst,expert,Head,vel,static_periods,ratio_percent,norm,0.5014408254599708
VP_02,ftsst,expert,Head,vel,static_periods,std_duration_sec,norm,1.6417007732130298
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,count_per_min,norm,7.496270512182994
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,max_duration_sec,norm,5.048999999999978
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,mean_duration_sec,norm,0.9728059701492526
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,ratio_percent,norm,0.12154027846842354
VP_02,ftsst,expert,LeftHand_RightHand,ang_vel,static_periods,std_duration_sec,norm,0.8154837240596774
VP_02,ftsst,expert,LeftHand_RightHand,pos_global,absolute_movement,absolute_movement,norm,0.09940953564479643
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,count_per_min,norm,21.03431128791646
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,max_duration_sec,norm,11.933999999999969
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,mean_duration_sec,norm,1.7068723404255344
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,ratio_percent,norm,0.5983814022874201
VP_02,ftsst,expert,LeftHand_RightHand,vel,static_periods,std_duration_sec,norm,1.9240218696103444
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,count_per_min,norm,19.132272501243165
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,max_duration_sec,norm,7.854000000000042
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,mean_duration_sec,norm,0.9257543859649128
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,ratio_percent,norm,0.29519641969169585
VP_02,ftsst,expert,LowerExtremities,ang_vel,static_periods,std_duration_sec,norm,1.128608132076621
VP_02,ftsst,expert,LowerExtremities,pos_global,absolute_movement,absolute_movement,norm,0.1465655545659466
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,count_per_min,norm,20.027349577324713
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,max_duration_sec,norm,13.718999999999937
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,mean_duration_sec,norm,1.752519553072625
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,ratio_percent,norm,0.5849720288413722
VP_02,ftsst,expert,LowerExtremities,vel,static_periods,std_duration_sec,norm,2.1930979354307927
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,count_per_min,norm,8.615116857284933
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,max_duration_sec,norm,5.065999999999974
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,mean_duration_sec,norm,0.9860000000000007
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,ratio_percent,norm,0.1415750870213825
VP_02,ftsst,expert,Spine3,ang_vel,static_periods,std_duration_sec,norm,0.8335111213857211
VP_02,ftsst,expert,Spine3,vel,static_periods,count_per_min,norm,18.460964694182
VP_02,ftsst,expert,Spine3,vel,static_periods,max_duration_sec,norm,9.656000000000006
VP_02,ftsst,expert,Spine3,vel,static_periods,mean_duration_sec,norm,1.636636363636364
VP_02,ftsst,expert,Spine3,vel,static_periods,ratio_percent,norm,0.5035647687717555
VP_02,ftsst,expert,Spine3,vel,static_periods,std_duration_sec,norm,1.7652113432885324
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,count_per_min,norm,5.706116360019891
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,max_duration_sec,norm,4.283999999999992
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,mean_duration_sec,norm,0.8240000000000043
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,ratio_percent,norm,0.07836399801094024
VP_02,ftsst,expert,Trunk,ang_vel,static_periods,std_duration_sec,norm,0.9026494336119628
VP_02,ftsst,expert,Trunk,pos_global,absolute_movement,absolute_movement,norm,0.04742891151634733
VP_02,ftsst,expert,Trunk,vel,static_periods,count_per_min,norm,19.132272501243165
VP_02,ftsst,expert,Trunk,vel,static_periods,max_duration_sec,norm,9.63900000000001
VP_02,ftsst,expert,Trunk,vel,static_periods,mean_duration_sec,norm,1.2896140350877183
VP_02,ftsst,expert,Trunk,vel,static_periods,ratio_percent,norm,0.41122078567876647
VP_02,ftsst,expert,Trunk,vel,static_periods,std_duration_sec,norm,1.5308345677061979
VP_02,ftsst,expert,UpperExtremities,ang_vel,static_periods,count_per_min,norm,2.5733465937344606
VP_02,ftsst,expert,UpperExtremities,ang_vel,static_periods,ratio_percent,norm,0.04060852809547507
VP_02,ftsst,expert,UpperExtremities,pos_global,absolute_movement,absolute_movement,norm,0.18811556039599014
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,count_per_min,norm,11.747886623570363
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,max_duration_sec,norm,7.853999999999985
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,mean_duration_sec,norm,1.0977142857142885
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,ratio_percent,norm,0.21493038289408312
VP_02,ftsst,expert,UpperExtremities,vel,static_periods,std_duration_sec,norm,1.3089360088540318
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,norm,0.004105444755819815
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,x,3.917649193346248
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,y,0.003915013628173335
VP_02,ftsst,generic,CenterMass,center_mass,cov,cov,z,2.6914886026557747
VP_02,ftsst,generic,CenterMass,center_mass,mean,mean,norm,1.0137805038984153
